latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
35.425150861111106,-116.88925017222223,985.2345,0.00000,2,2021,-50715.857
35.425155355555546,-116.88925552777776,985.8844,0.00833,2,2021,-50715.863
35.4251544611111,-116.8892546388889,986.3213,0.01667,2,2021,-50715.876
35.42515419722221,-116.88925395555557,986.7613,0.02500,2,2021,-50715.878
35.42515482499999,-116.889254825,986.755,0.03333,2,2021,-50715.882
35.42515523333333,-116.88925413888892,986.7625,0.04167,2,2021,-50715.887
35.42515487499999,-116.88925373888891,986.7348,0.05000,2,2021,-50715.891
35.42515525277777,-116.88925357222226,986.69,0.05833,2,2021,-50715.897
35.42515518333333,-116.8892533138889,986.6962,0.06667,2,2021,-50715.904
35.42515531666666,-116.88925372777777,986.6735,0.07500,2,2021,-50715.907
35.42515499444444,-116.8892538777778,986.7184,0.08333,2,2021,-50715.913
35.42515523333333,-116.88925358333334,986.6626,0.09167,2,2021,-50715.903
35.42515532777777,-116.88925305555554,986.6402,0.10000,2,2021,-50715.913
35.425155394444445,-116.88925297777779,986.6357,0.10833,2,2021,-50715.924
35.42515534166667,-116.88925319722223,986.6514,0.11667,2,2021,-50715.926
35.42515527222221,-116.88925327777775,986.6596,0.12500,2,2021,-50715.935
35.42515544166667,-116.88925306666668,986.6403,0.13333,2,2021,-50715.926
35.42515552222222,-116.88925283611113,986.6204,0.14167,2,2021,-50715.927
35.42515555833333,-116.88925261388893,986.6111,0.15000,2,2021,-50715.932
35.42515555833333,-116.88925254722224,986.6076,0.15833,2,2021,-50715.944
35.425155525,-116.88925254444445,986.6076,0.16667,2,2021,-50715.947
35.42515549444443,-116.88925249722223,986.6159,0.17500,2,2021,-50715.950
35.42515549722222,-116.88925256388892,986.6186,0.18333,2,2021,-50715.952
35.425155511111114,-116.88925235555558,986.6068,0.19167,2,2021,-50715.947
35.42515549444443,-116.88925240833332,986.6074,0.20000,2,2021,-50715.957
35.42515550277777,-116.88925238611112,986.6015,0.20833,2,2021,-50715.968
35.42515549444443,-116.8892523666667,986.5994,0.21667,2,2021,-50715.963
35.425155455555554,-116.88925258055556,986.6118,0.22500,2,2021,-50715.973
35.42515541666666,-116.88925260833336,986.6154,0.23333,2,2021,-50715.970
35.425155427777774,-116.88925263333336,986.6132,0.24167,2,2021,-50715.980
35.42515541388889,-116.88925262777781,986.6192,0.25000,2,2021,-50715.984
35.42515538611111,-116.88925264444445,986.6223,0.25833,2,2021,-50715.983
35.425155375,-116.88925268611112,986.6278,0.26667,2,2021,-50716.000
35.42515540277777,-116.88925258888892,986.6215,0.27500,2,2021,-50715.998
35.425155391666664,-116.88925269722226,986.6255,0.28333,2,2021,-50716.007
35.42515537222222,-116.88925278055558,986.628,0.29167,2,2021,-50716.005
35.425155394444445,-116.8892527527778,986.6223,0.30000,2,2021,-50716.009
35.42515539722222,-116.88925272222222,986.6258,0.30833,2,2021,-50716.003
35.425155411111106,-116.88925270000001,986.6292,0.31667,2,2021,-50716.016
35.425155436111105,-116.88925266388888,986.6282,0.32500,2,2021,-50716.013
35.42515541944445,-116.88925271111111,986.6328,0.33333,2,2021,-50716.027
35.425155430555556,-116.88925269444445,986.6341,0.34167,2,2021,-50716.025
35.42515541944445,-116.88925274722226,986.6437,0.35000,2,2021,-50716.033
35.42515541666666,-116.88925277500002,986.6488,0.35833,2,2021,-50716.035
35.425155430555556,-116.88925279444446,986.6502,0.36667,2,2021,-50716.040
35.425155425,-116.88925280277778,986.6513,0.37500,2,2021,-50716.037
35.425155430555556,-116.88925279722224,986.6476,0.38333,2,2021,-50716.047
35.425155436111105,-116.88925278611111,986.6478,0.39167,2,2021,-50716.055
35.425155430555556,-116.88925280833334,986.6467,0.40000,2,2021,-50716.061
35.425155427777774,-116.88925283333336,986.649,0.40833,2,2021,-50716.075
35.425155427777774,-116.88925286111116,986.6503,0.41667,2,2021,-50716.076
35.42515541944445,-116.88925286666667,986.651,0.42500,2,2021,-50716.079
35.42515543333333,-116.88925283888891,986.6482,0.43333,2,2021,-50716.075
35.425155436111105,-116.8892528638889,986.6482,0.44167,2,2021,-50716.085
35.425155436111105,-116.88925284722222,986.6478,0.45000,2,2021,-50716.083
35.42515545277777,-116.88925282500003,986.6431,0.45833,2,2021,-50716.087
35.42515545833333,-116.88925281666668,986.6438,0.46667,2,2021,-50716.094
35.42515545833333,-116.88925281111116,986.6404,0.47500,2,2021,-50716.093
35.425155463888885,-116.88925278055558,986.6406,0.48333,2,2021,-50716.100
35.425155466666666,-116.88925276111115,986.6431,0.49167,2,2021,-50716.110
35.42515545277777,-116.88925255833337,986.6563,0.49167,2,2021,0.000
35.42515545277777,-116.88925255833337,986.6563,0.49167,2,2021,0.000
